what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417707930538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417707960961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417707962468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417707965189
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417707971200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417707983801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417707986669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417708017360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417713150870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417713184458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417713190311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417713206098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715022729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715054103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715055943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715058606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1417715075430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1417715075526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1417715076079
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1417715076434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1417715076750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715084798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715086244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715087883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715108336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715109759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715112401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715186165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715187600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715189102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715191448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715196454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715197987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715199538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715202496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715204151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715205641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715219881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715221833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715223925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715235003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715236505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715238377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1417715280034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1417715283581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715283936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715285302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715287004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715288967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715290727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715327253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715328676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715330425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715333629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715335801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715345825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715347122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715350633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715362168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715365005
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715370592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715395720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715397342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715402728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715417629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715419231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715420631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715485004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715486787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715488858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715506631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715509517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715512413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417715527004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417715527492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417715528017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417715528521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417715528999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417715529665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715530627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715532900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715535967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715547696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715549483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715551902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715563136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1417715563196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715566775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715579092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715580645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715582747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715594324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715596049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715598110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417715599291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417715600048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417715600518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715601307
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715636421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715637871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715640312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715669936
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417715671451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715671966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715674348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715674692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715676553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715699550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715707011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715710446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715723141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715728724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715752066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715760313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417715771826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716053480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716156040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716313620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716351107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716357693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716578846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716600594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716601826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716608497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417716609913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417716610612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716611292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716612734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716620664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716642409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716643902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716648892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1417716651192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716652774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1417716655908
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1417716657519
